Person A,Person B,A -> B Relationship,
محمدحسین صفار هرندی,برادرزاده‌ی محی‌الدین فاضل هرندی و پسرخاله‌ی فخرالسادات محتشمی‌پور (همسرمصطفی تاج‌زاده ودخترعموی علی‌اکبرمحتشمی‌پور),,
طیبه صفایی,همسررحیم قربانی,,
اعظم طالقانی,دخترسید محمود طالقانی وخواهروحیده طالقانی,,
سید محمود طالقانی,پدراعظم ووحیده طالقانی و پدرهمسرمحمد بسته نگار,,
وحیده طالقانی,دخترسید محمود طالقانی وخواهراعظم طالقانی,,
سید حسن طاهری خرم‌آبادی,پدرسید مجتبی طاهری خرم‌آبادی وفامیل سید محمدصالح طاهری خرم‌آبادی,,
سید مجتبی طاهری خرم‌آبادی,پسرسید حسن طاهری خرم‌آبادی وفامیل سید محمدصالح طاهری خرم‌آبادی,,
محمدصالح طاهری خرم‌آبادی,فامیل سید حسن وسید مجتبی طاهری خرم‌آبادی,,
حبیب‌الله طاهری گرگانی,شوهرخواهرسید محمدحسن علوی حسینی,,
حبیب‌الله طاهری گرگانی,پدرسیدعلی طاهری گرگانی وداماد سید سجاد علوی,,
سید علی طاهری گرگانی,پسرسید حبیب‌الله طاهری گرگانی وخواهرزاده‌ی سید محمدحسن علوی حسینی,,
سید صادق طباطبایی‌نژاد,پسرسید یوسف طباطبایی‌نژاد و برادرزاده‌ی سید عباس وسید نورالله طباطبایی‌نژاد,,
سید عباس طباطبایی‌نژاد,برادرسید نورالله وسید یوسف طباطبایی‌نژاد وعموی سید صادق طباطبایی‌نژاد,,
سید نورالله طباطبایی‌نژاد,برادرسید عباس وسید یوسف طباطبایی‌نژاد وعموی سید صادق طباطبایی‌نژاد,,
سید یوسف طباطبایی‌نژاد,پدرسید صادق طباطبایی‌نژاد وبرادرسیدعباس وسید نورالله طباطبایی‌نژاد,,
اترک طیار,پدرقرجه طیار,,
قرجه طیار,پسراترک طیار,,
سید علیرضا عبادی,برادرسید مهدی عبادی و پدرسید محمدباقرعبادی,,
سید محمدباقر عبادی,پسرسید علیرضا عبادی و برادرزاده‌ی سید مهدی عبادی,,
سید مهدی عبادی,برادرسید علیرضا عبادی وعموی سید محمدباقر عبادی,,
محمدهادی عبدخدایی,برادرمحمدمهدی عبدخدایی,,
سید مجتبی عرفانی,پسرسید یونس عرفانی,,
سید یونس عرفانی,پدرسید مجتبی عرفانی,,
حبیب‌الله عسگراولادی,برادراسدالله عسگراولادی و دایی ابوالفضل حاجی‌حیدری,,
سید احمد علم‌الهدی,پدرهمسرسید ابراهیم رئیسی وهمسرسکینه ریخته گرزاد,,
سید محمدحسن علوی حسینی,دایی سید علی طاهری گرگانی و برادرزن سید حبیب‌الله طاهری گرگانی,,
سید محسن علوی,پسرسید محمود علوی,,
سید محمود علوی,پدرسید محسن علوی,,
علیرضا علی‌احمدی جشفقانی,پدرهمسرمهرداد بذرپاش,,
قدرت‌الله علیخانی,پدرمحمد علیخانی وفامیل غلامعباس آقاعلیخانی,,
محمد علیخانی,پسرقدرت‌‌الله علیخانی وفامیل غلامعباس آقاعلیخانی,,
احمد علیزاده,برادرمحمدرضا علیزاده,,
محمدرضا علیزاده,برادراحمد علیزاده,,
عباسعلی عمید زنجانی,داماد سید شهاب‌الدین مرعشی نجفی,,
عبدالحسین غروی,داماد سید حسن انگجی,,
عبدالحسین غروی,شوهربرادرزاده‌ی سید محمدعلی انگجی وهمسردخترعموی سید جواد انگجی,,
هادی غفاری,پسر حسین غفاری,,
هادی غفاری,نوه‌ی میرزاعلی مقدس تبریزی,,
هادی غفاری,برادرهمسراحمد ملازاده,,
سید علی غیوری نجف‌آبادی,داماد دایی همسرحسینعلی منتظری,,
محمد فاضل لنکرانی,پدرهمسرسید کاظم نورمفیدی,,
محمد فاضل لنکرانی,پدرمحمدجواد فاضل لنکرانی وبرادرهمسرآیت‌الله مرعشی نجفی,,
محی‌الدین فاضل هرندی,عموی محمدحسین صفارهرندی ودایی سید مصطفی تاج زاده,,
محمد فروزنده,برادراحمد فروزنده وشوهرهمسرسابق محمد جهان‌آرا,,
محمدعلی فیاض‌بخش,پدرنفیسه فیاض‌بخش,,
نفیسه فیاض‌بخش,دخترمحمدعلی فیاض‌بخش,,
عبدالوحید فیاضی,برادرمفید فیاضی,,
نادر قاضی‌پور,داماد سید حسن واعظ موسوی انزابی,,
سید احسان قاضی‌زاده هاشمی,برادرسید امیرحسین قاضی‌زاده هاشمی وپسرعموی سید حسن وسید حسین قاضی‌زاده هاشمی,,
سید امیرحسین قاضی‌زاده هاشمی,برادر سید احسان قاضی‌زاده هاشمی وپسرعموی سید حسن وسید حسین قاضی‌زاده هاشمی,,
سید حسن قاضی‌زاده هاشمی,برادرسید حسین قاضی‌زاده هاشمی وپسرعموی سید امیرحسین وسید احسان قاضی‌زاده هاشمی,,
سید حسین قاضی‌زاده هاشمی,برادرسید حسن قاضی‌زاده هاشمی وپسرعموی سید امیرحسین وسید احسان قاضی‌زاده هاشمی,,
علی قدوسی,داماد سید محمد حسین [علامه] طباطبایی,,
محسن قمی,محمد قمی,Brother,
محمد قمی,محسن قمی,Brother,
حسن کامران,همسرنیره اخوان بیطرف وباجناق سید حسن آقا حسینی طباطبایی,,
مرتضی کتیرایی,برادرمصطفی کتیرایی,,
مصطفی کتیرایی,برادرمرتضی کتیرایی,,
جمیله کدیور,همسرسیدعطاءالله مهاجرانی وخواهرمحسن کدیور,,
غلامحسین کرباسچی,خواهرزاده‌ی عبدالمجید معادیخواه,,
عبدالجبار کرمی,داماد مصطفی خرم‌دل,,
محمد کرمی,برادرمحمدمهدی کرمی,,
محمدمهدی کرمی,برادرمحمد کرمی,,
فاطمه کروبی,همسرمهدی کروبی,,
مهدی کروبی,همسرفاطمه شریفی [کروبی],,
محمدعلی کریمی [فرزند محمد ابراهیم],شوهرخواهرسید حسن خوشرو وداماد سید رضا خوشرو,,
عیسی کلانتری,برادرموسی کلانتری.,,
موسی کلانتری,برادرعیسی کلانتری.,,
مهدی کوچک‌زاده,پدرعروس حسین مظفر.,,
علی کوهساری,برادرغلامعلی کوهساری.,,
غلامعلی کوهساری,برادرعلی کوهساری.,,
اسدالله لاجوردی,به واسطه‌ی ازدواج خواهرش با برادرسعید امانی همدانی,,
اسدالله لاجوردی,با او فامیل شده است,,
جواد مجتهد شبستری,پسرمحسن مجتهد شبستری وبرادرزاده‌ی محمد مجتهد شبستری,,
محسن مجتهد شبستری,برادرمحمد مجتهد شبستری وپدرجواد مجتهد شبستری,,
محمد مجتهد شبستری,برادرمحسن مجتهد شبستری وعموی جواد مجتهد شبستری,,
مریم مجتهدزاده,همسرسید محسن موسوی,,
سیدعلی‌اکبر محتشمی‌پور,پدربزرگ عروس محمدرضا باهنروپسرعموی همسران مصطفی تاج‌زاده و مرتضی رفیق دوست,,
علی‌اکبر محرابیان,فامیل احمد وحسین نجابت,,
محمدرضا محسنی ثانی,پدرعروس عباس واعظ طبسی,,
صادق محصولی,باجناق علی‌اکبرولایتی,,
حسین محلوجی,خواهرزاده‌ی سید مهدی یثربی,,
محمدباقر ذوالقدر,برادرهمسرمحمدعلی [عزیز] جعفری,,
محمود محمدی عراقی,داماد محمدتقی مصباح یزدی و پسربهاءالدین محمدی عراقی,,
محمد محمدی گرگانی,پدرهمسراحمد زیدآبادی,,
سلیم مرعشی,برادرصمد مرعشی,,
صمد مرعشی,برادرسلیم مرعشی,,
محمدهادی مروی,داماد سید ابوالقاسم خزعلی,,
علی‌اکبر مشکینی,پدرهمسرمحمد ری‌شهری,,
محمدتقی مصباح یزدی,پدرهمسرمحمود محمدی عراقی,,
سید احمد مصطفوی کاشانی,پسرآیت‌الله ابوالقاسم کاشانی,,
حسین مظفر,پدرداماد مهدی کوچک‌زاده,,
عبدالمجید معادیخواه,دایی غلامحسین کرباسچی,,
محمد مفتح,پدرمحمدمهدی مفتح,,
محمدمهدی مفتح,پسرمحمد مفتح وداماد صادق احسان‌بخش,,
عباس مقتدایی,فامیل مرتضی مقتدایی,,
مرتضی مقتدایی,فامیل عباس مقتدایی,,
احمد ملازاده,شوهرخواهرهادی غفاری,,
سید شرف‌الدین ملک‌حسینی,پسرسید کرامت‌الله ملک‌حسینی,,
سید کرامت‌الله ملک‌حسینی,پدرسید شرف‌الدین ملک‌حسینی,,
علی ملکوتی,پسرمسلم ملکوتی,,
مسلم ملکوتی,پدرعلی ملکوتی,,
حسینعلی منتظری,محمدعلی منتظری,Father,
حسینعلی منتظری,احمد منتظری,Father,
حسینعلی منتظری,پدرداماد محمدمهدی ربانی املشی,,
محمدعلی منتظری,پسرحسینعلی منتظری وبرادرداماد محمدمهدی ربانی املشی,,
سید عطاءالله مهاجرانی,جمیله کدیور,,
سید عطاءالله مهاجرانی,محسن کدیور,Sister's husband,
محمدعلی موحدی کرمانی,محمدمهدی موحدی کرمانی,Brother,
محمدمهدی موحدی کرمانی,محمدعلی موحدی کرمانی,Brother,
سید آیت‌الله موسوی اجاق,برادرسید مجتبی موسوی اجاق,,
سید مجتبی موسوی اجاق,برادرسید آیت‌الله موسوی اجاق,,
سید حسن موسوی تبریزی [پورمیرغفاری],برادرسید حسین وسید محسن موسوی تبریزی,,
سید حسین موسوی تبریزی [پورمیرغفاری],سید حسن موسوی تبریزی [پورمیرغفاری],Brother,
سید حسین موسوی تبریزی [پورمیرغفاری],سید محسن موسوی تبریزی [پورمیرغفاری],Brother,
سید حسین موسوی تبریزی [پورمیرغفاری],حسین نوری همدانی,Daughter's husband,
سید محسن موسوی تبریزی [پورمیرغفاری],برادرسید حسن وسید حسین موسوی تبریزی,,
علی‌اکبر موسوی حسینی,پدرهمسرحسین طائب,,
میرحسین موسوی,برادرهمسرمحمدحسین شریف‌زادگان. مادربزرگ اوعمه‌ی سید علی خامنه‌ای است,,
سید محمد مؤدب‌پور,فامیل سید مجتبی مؤدب‌پور,,
سید محمد میلانی حسینی,برادرسید محمدرضا میلانی حسینی,,
سید محمدرضا میلانی حسینی,برادرسید محمد میلانی حسینی,,
سید مرتضی نبوی,دخترعمه‌ی اوهمسرداوود دانش جعفری است,,
احمد نجابت,برادرحسین نجابت,,
احمد نجابت,برادرشوهرخواهرسید منیرالدین حسینی الهاشمی وفامیل علی‌اکبر [غلامحسین] محرابیان,,
حسین نجابت,برادر احمد نجابت,,
حسین نجابت,شوهرخواهرسید منیرالدین حسینی الهاشمی,,
حسین نجابت,باجناق محمد صادق حا ئری شیرازی و فامیل علی‌اکبر [غلامحسین] محرابیان,,
عبدالنبی نمازی,پدرحسن نمازی,,
علی نوبخت حقیقی,محمدباقرنوبخت حقیقی,Brother,
محمدباقر نوبخت حقیقی,علی نوبخت حقیقی,Brother,
علیرضا نوبری,سید ابوالحسن بنی‌صدر,Daughter's husband,
سید کاظم نورمفیدی,محمد فاضل لنکرانی,Daughter's husband,
حسین نوری همدانی,سید حسین موسوی تبریزی [پورمیرغفاری],Wife's father,
عبدالله نوری,علیرضا نوری,Brother,
علیرضا نوری,عبدالله نوری,Brother,
سید اسماعیل هاشمی اصفهانی,معصومه ابتکار,Husband's father,
سید محمدرضا هاشمی گلپایگانی,نوه‌ی سید جمال‌الدین هاشمی گلپایگانی و برادرزاده‌ی سید علی هاشمی گلپایگانی,,
سید حبیب هاشمی‌نژاد,دایی سید محمدعلی ابطحی,,
سید محمود هاشمی شاهرودی,پدرعروس سید عبدالکریم موسوی اردبیلی,,
غلامعلی هزارجریبی,پدرنبی هزارجریبی,,
نبی هزارجریبی,پسرغلامعلی هزارجریبی,,
عباس واعظ طبسی,پدرداماد محمدرضا محسنی ثانی,,
سید حسن واعظ موسوی انزابی,پدرهمسرنادرقاضی‌پور,,
فرج‌الله واعظی,پدرمحمدتقی واعظی,,
محمدتقی واعظی,پدرفرج‌الله واعظی,,
علی‌اکبر ولایتی,باجناق صادق محصولی,,
عیسی ولایی,داماد محمدرضا توسلی محلاتی,,
سید مهدی یثربی,دایی حسین محلوجی,,
ابراهیم یزدی,برادرهمسرمحمد توسلی,,
علی یونسی,پدرداماد سید احمد زرگر,,
